method,tcr_mean,latency_ms_mean,energy_mj_mean,reliability_pct_mean,resource_utilization_pct_mean,decision_latency_ms_mean,cvr_mean,expected_cost_mean,mean_replicas_mean,tcr_std,latency_ms_std,energy_mj_std,reliability_pct_std,resource_utilization_pct_std,decision_latency_ms_std,cvr_std,expected_cost_std,mean_replicas_std
random,82.85714285714286,5239.2904023138235,581.3653821825969,72.84304630307734,34.57142857142858,0.04017428571428571,77.14285714285715,0.2220577818033378,1.2571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ra-opt,84.28571428571429,1643.0170988722352,196.35634987765897,80.89633781617145,49.71428571428572,0.010884285714285714,30.0,0.17478674395022045,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d3qn,62.857142857142854,17782.463963131286,919.5262021398513,52.04200106775859,11.857142857142854,0.31617428571428574,95.71428571428572,0.4225307051739428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drl-ra,91.42857142857143,11434.640853795232,1110.7155390993942,81.92573882013146,63.571428571428555,0.5106857142857143,71.42857142857143,0.1424813231444575,1.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
