method,tcr_mean,latency_ms_mean,energy_mj_mean,reliability_pct_mean,resource_utilization_pct_mean,decision_latency_ms_mean,cvr_mean,expected_cost_mean,mean_replicas_mean,tcr_std,latency_ms_std,energy_mj_std,reliability_pct_std,resource_utilization_pct_std,decision_latency_ms_std,cvr_std,expected_cost_std,mean_replicas_std
random,91.42857142857143,3294.272148175347,515.9331086736786,82.45756015555553,0.06055077573324746,0.03571714285714285,68.57142857142857,0.13233776636426273,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greedy-nearest,94.28571428571428,523.9727603577601,257.7162374193633,88.02137034339742,0.06305108135534192,0.00756142857142857,45.714285714285715,0.08723757002637492,1.2714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greedy-reliability,92.85714285714286,3201.6763728610467,303.3443628024367,92.64012216701369,0.05826646420901568,0.008808571428571428,15.714285714285714,0.07836150342138316,1.2857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dqn,60.0,12733.103549630356,672.7792020530908,51.75060403454197,0.04387291525705489,0.37202142857142856,92.85714285714286,0.42462958075955126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d3qn,58.57142857142858,14625.107663291064,766.5532293105261,49.609078532099076,0.00027723693267349794,0.4417542857142858,98.57142857142858,0.4424864798068647,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drl-ra,88.57142857142857,9722.351498307007,1033.0549419245817,80.11791370305994,0.08214355420311786,0.3282428571428571,68.57142857142857,0.15167305949576557,1.7428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
